id,nom,MOA,latitude,longitude
31,Ambares-et-Lagrave,CUB,44.93259053,-0.504919549
32,Ambès,CUB,45.01009551,-0.538321553
16,Andernos-les-Bains,COBAN,44.76641659,-1.071441239
24,Arcachon,COBAS,44.65188566,-1.14820579
17,Arès,COBAN,44.77704861,-1.120840479
2,Arnahurt,CDC DE MONTESQUIEU,44.68790264,-0.505791819
12,Arsac,CDC MEDOC-ESTUAIRE,44.98068113,-0.684448779
18,Audenge,COBAN,44.69996347,-0.983403287
33,Bassens,CUB,44.89591171,-0.525361837
5,Bazas,CDC DU BAZADAIS,44.41202226,-0.214479596
48,Beguey,SEMOCTOM,44.65236714,-0.335503791
8,Belin-Beliet,CDC DU VAL DE L'EYRE,44.52466641,-0.817525728
19,Biganos,COBAN,44.66300015,-0.96623791
34,Blanquefort,CUB,44.9277357,-0.623087478
35,Bordeaux - Bastide,CUB,44.83387039,-0.551636109
36,Bordeaux - Paludate,CUB,44.82485084,-0.545101077
37,Bordeaux - Surcouf,CUB,44.87796236,-0.554921645
38,Bruges,CUB,44.88921747,-0.620777058
14,Castelnau-de-Médoc,CDC MEDULIENNE,45.00534621,-0.821632826
25,Cazaux,COBAS,44.54304038,-1.140253578
1,Cestas,CDC DE CESTAS-CANEJAN,44.76798964,-0.672165255
58,Cissac  ,SMICOTOM,45.21586112,-0.836148924
67,Coutras,SMICVAL,45.03352094,-0.104991739
13,Cussac-Fort-Médoc,CDC MEDOC-ESTUAIRE,45.12116422,-0.751581965
56,Floirac,SIVOM DE LA RIVE DROITE,44.82520003,-0.52652018
78,Gensac,USTOM DU CASTILLONNAIS ET DU REOLAIS,44.79998266,0.08120303
39,Gradignan,CUB,44.77850363,-0.64143225
26,Gujan-Mestras,COBAS,44.60339116,-1.072712129
59,Hourtin        ,SMICOTOM,45.12725085,-1.044841865
60,Jau-Dignac,SMICOTOM,45.40762308,-0.967022358
79,La Réole,USTOM DU CASTILLONNAIS ET DU REOLAIS,44.58166116,-0.072152571
68,La Roche-Chalais,SMICVAL,45.14256077,-0.007386426
27,La Teste-de-Buch,COBAS,44.60311778,-1.12138586
61,Lacanau,SMICOTOM,45.00190189,-1.090528473
54,Langon,SICTOM DU LANGONNAIS,44.54119502,-0.238100378
20,Lanton,COBAN,44.71828709,-1.024084462
9,Le Barp,CDC DU VAL DE L'EYRE,44.59668208,-0.757804806
28,Le Pyla,COBAS,44.60522706,-1.199160579
21,Lège Cap Ferret,COBAN,44.78436326,-1.167507205
55,Lerm et Musset,SICTOM DU LANGONNAIS,44.33114637,-0.139379542
62,Lesparre,SMICOTOM,45.29789796,-0.945179022
69,Libourne - l'Epinette,SMICVAL,44.9067182,-0.215054327
70,Libourne - la Ballastière,SMICVAL,44.94450587,-0.235391903
10,Lugos,CDC DU VAL DE L'EYRE,44.48172196,-0.906738389
22,Marcheprime,COBAN,44.6858777,-0.863887399
46,Martignas,MARTIGNAS-SUR-JALLE,44.84838266,-0.754358337
40,Mérignac,CUB,44.8465389,-0.688693848
3,Migelan,CDC DE MONTESQUIEU,44.69732958,-0.603934344
23,Mios,COBAN,44.63218621,-0.943176656
63,Ordonnac,SMICOTOM,45.30598242,-0.845105015
41,Pessac - Beutre,CUB,44.80234114,-0.686994392
42,Pessac - Gutemberg,CUB,44.78637576,-0.647612147
80,Pineuilh,USTOM DU CASTILLONNAIS ET DU REOLAIS,44.84023343,0.237646214
29,Point Vert d'Arcachon,COBAS,44.65163343,-1.194538009
57,Pompignac,SIVOM DE LA RIVE DROITE,44.86586856,-0.446337095
15,Porge,CDC MEDULIENNE,44.88818224,-1.056515105
4,Préchac,CDC DE VILLANDRAUT,44.41018561,-0.348349073
81,Rimons,USTOM DU CASTILLONNAIS ET DU REOLAIS,44.69006121,0.033757028
