depart,arrivee,poids,distance,co2
1,2,1179,31.6,20.2
3,4,6046.84,28.3,18.1
5,6,9054.34,33.8,21.6
7,2,1011,13.9,8.9
8,2,2430,20.3,13
9,6,5022.58,40.9,26.1
10,2,1082,8.3,5.3
11,6,3923.52,54.2,34.6
12,13,5899.18,0.23,0.1
14,15,4669,11.4,7.3
16,6,8133,55.9,35.7
16,17,12810,9,5.7
18,19,16918,7,4.5
20,21,69309.29,6.1,3.9
20,22,9531.69,13.2,8.4
20,6,63578.5,6.5,4.2
20,23,42907.42,56.4,36
24,4,1595,34,21.7
25,4,1779,35.8,22.9
26,27,4847,14.8,9.5
26,6,21732,30.2,19.3
28,2,8952,42.2,27
29,23,3476.08,84.8,54.2
30,2,1028,5.7,3.6
31,32,19713,3.7,2.4
33,34,11486.56,20.1,12.8
35,36,18815,45.2,28.9
35,37,32655,4.5,2.9
38,34,6917.8,18.6,11.9
30,2,27,38.8,24.8
4,40,6046.84,46.8,29.9
13,6,5899.18,42,26.8
15,6,4669,47.8,30.5
17,6,12810,70.1,44.8
19,40,16918,108,69
21,23,54980.92,56.4,36
21,6,10157.71,23.8,15.2
21,40,4170.66,43.9,28
22,6,1390.6,19.7,12.6
22,23,8141.09,73,46.6
4,40,3374,45,28.7
27,6,4847,34.2,21.8
36,40,18815,24.6,15.7
37,40,32655,19.2,12.3
2,6,15709,41.1,26.3
34,40,18404.36,66.2,42.3
